Dataset,Classifier_Name,CV_mean,CV_std,Test_acc
sonar,_LR,0.759926471,0.081033448,0.714285714
sonar,StandardScaler_LR,0.740808824,0.089274669,0.833333333
sonar,MinMaxScaler_LR,0.711029412,0.108080732,0.761904762
sonar,MaxAbsScaler_LR,0.735661765,0.108346156,0.761904762
sonar,RobustScaler_LR,0.758455882,0.068525506,0.80952381
sonar,QuantileTransformer-Normal_LR,0.795220588,0.10674498,0.80952381
sonar,QuantileTransformer-Uniform_LR,0.813602941,0.080195108,0.785714286
sonar,PowerTransformer-Yeo-Johnson_LR,0.789338235,0.097686944,0.833333333
,,,,
sonar,_LR-PCA,0.688602941,0.102124518,0.619047619
sonar,StandardScaler_LR-PCA,0.747794118,0.092778268,0.738095238
sonar,MinMaxScaler_LR-PCA,0.765808824,0.07956905,0.714285714
sonar,MaxAbsScaler_LR-PCA,0.765808824,0.07956905,0.714285714
sonar,RobustScaler_LR-PCA,0.723529412,0.078055549,0.738095238
sonar,QuantileTransformer-Normal_LR-PCA,0.765808824,0.064543789,0.714285714
sonar,QuantileTransformer-Uniform_LR-PCA,0.777573529,0.095930524,0.738095238
sonar,PowerTransformer-Yeo-Johnson_LR-PCA,0.777205882,0.065791363,0.714285714
,,,,
sonar,_LDA,0.769852941,0.090162771,0.833333333
sonar,StandardScaler_LDA,0.783088235,0.072006283,0.833333333
sonar,MinMaxScaler_LDA,0.782352941,0.111000191,0.833333333
sonar,MaxAbsScaler_LDA,0.765441176,0.109984861,0.833333333
sonar,RobustScaler_LDA,0.776102941,0.083293766,0.833333333
sonar,QuantileTransformer-Normal_LDA,0.770955882,0.091233527,0.738095238
sonar,QuantileTransformer-Uniform_LDA,0.783088235,0.047310906,0.785714286
sonar,PowerTransformer-Yeo-Johnson_LDA,0.777941176,0.082997087,0.785714286
,,,,
sonar,_LDA-PCA,0.676102941,0.097567877,0.642857143
sonar,StandardScaler_LDA-PCA,0.753308824,0.076085178,0.714285714
sonar,MinMaxScaler_LDA-PCA,0.753676471,0.083383779,0.714285714
sonar,MaxAbsScaler_LDA-PCA,0.759558824,0.077523855,0.714285714
sonar,RobustScaler_LDA-PCA,0.729779412,0.067895364,0.69047619
sonar,QuantileTransformer-Normal_LDA-PCA,0.777573529,0.08388881,0.714285714
sonar,QuantileTransformer-Uniform_LDA-PCA,0.764705882,0.073859553,0.738095238
sonar,PowerTransformer-Yeo-Johnson_LDA-PCA,0.770955882,0.065106755,0.69047619
,,,,
sonar,_KNN,0.85,0.103357875,0.761904762
sonar,StandardScaler_KNN,0.825,0.096547786,0.833333333
sonar,MinMaxScaler_KNN,0.837132353,0.066013893,0.785714286
sonar,MaxAbsScaler_KNN,0.843014706,0.055902908,0.761904762
sonar,RobustScaler_KNN,0.837867647,0.103614526,0.833333333
sonar,QuantileTransformer-Normal_KNN,0.805882353,0.100439669,0.833333333
sonar,QuantileTransformer-Uniform_KNN,0.890808824,0.106580242,0.904761905
sonar,PowerTransformer-Yeo-Johnson_KNN,0.873897059,0.106084494,0.785714286
,,,,
sonar,_KNN-PCA,0.770955882,0.058801696,0.714285714
sonar,StandardScaler_KNN-PCA,0.775735294,0.088693662,0.785714286
sonar,MinMaxScaler_KNN-PCA,0.752941176,0.094160721,0.80952381
sonar,MaxAbsScaler_KNN-PCA,0.740808824,0.101116309,0.80952381
sonar,RobustScaler_KNN-PCA,0.789338235,0.08537094,0.714285714
sonar,QuantileTransformer-Normal_KNN-PCA,0.73125,0.106076849,0.785714286
sonar,QuantileTransformer-Uniform_KNN-PCA,0.770955882,0.094950503,0.833333333
sonar,PowerTransformer-Yeo-Johnson_KNN-PCA,0.777205882,0.111696961,0.80952381
,,,,
sonar,_CART,0.734191176,0.097270964,0.80952381
sonar,StandardScaler_CART,0.734191176,0.097270964,0.80952381
sonar,MinMaxScaler_CART,0.734191176,0.097270964,0.80952381
sonar,MaxAbsScaler_CART,0.734191176,0.097270964,0.80952381
sonar,RobustScaler_CART,0.734191176,0.097270964,0.80952381
sonar,QuantileTransformer-Normal_CART,0.640073529,0.133617832,0.80952381
sonar,QuantileTransformer-Uniform_CART,0.651102941,0.123196878,0.80952381
sonar,PowerTransformer-Yeo-Johnson_CART,0.650367647,0.107103987,0.80952381
,,,,
sonar,_CART-PCA,0.704411765,0.094195166,0.714285714
sonar,StandardScaler_CART-PCA,0.736029412,0.090336501,0.761904762
sonar,MinMaxScaler_CART-PCA,0.657352941,0.107436007,0.761904762
sonar,MaxAbsScaler_CART-PCA,0.722794118,0.094924164,0.761904762
sonar,RobustScaler_CART-PCA,0.685661765,0.126389872,0.642857143
sonar,QuantileTransformer-Normal_CART-PCA,0.687132353,0.102973341,0.761904762
sonar,QuantileTransformer-Uniform_CART-PCA,0.716911765,0.12270823,0.80952381
sonar,PowerTransformer-Yeo-Johnson_CART-PCA,0.740441176,0.110651382,0.80952381
,,,,
sonar,_SVM,0.788970588,0.077279377,0.738095238
sonar,StandardScaler_SVM,0.861029412,0.074002157,0.833333333
sonar,MinMaxScaler_SVM,0.734926471,0.109832982,0.714285714
sonar,MaxAbsScaler_SVM,0.759191176,0.074447395,0.69047619
sonar,RobustScaler_SVM,0.771323529,0.111048888,0.785714286
sonar,QuantileTransformer-Normal_SVM,0.836764706,0.084097205,0.80952381
sonar,QuantileTransformer-Uniform_SVM,0.813602941,0.071043454,0.785714286
sonar,PowerTransformer-Yeo-Johnson_SVM,0.873161765,0.058783304,0.833333333
,,,,
sonar,_SVM-PCA,0.669852941,0.108649503,0.69047619
sonar,StandardScaler_SVM-PCA,0.717647059,0.103749453,0.738095238
sonar,MinMaxScaler_SVM-PCA,0.736764706,0.096014322,0.761904762
sonar,MaxAbsScaler_SVM-PCA,0.742647059,0.10271772,0.761904762
sonar,RobustScaler_SVM-PCA,0.759191176,0.088300374,0.738095238
sonar,QuantileTransformer-Normal_SVM-PCA,0.735294118,0.09486434,0.761904762
sonar,QuantileTransformer-Uniform_SVM-PCA,0.753308824,0.110434347,0.833333333
sonar,PowerTransformer-Yeo-Johnson_SVM-PCA,0.727941176,0.080564214,0.857142857
,,,,
sonar,_RF,0.770588235,0.072477774,0.80952381
sonar,StandardScaler_RF,0.776470588,0.078659289,0.80952381
sonar,MinMaxScaler_RF,0.776470588,0.078659289,0.80952381
sonar,MaxAbsScaler_RF,0.776470588,0.078659289,0.80952381
sonar,RobustScaler_RF,0.776470588,0.078659289,0.80952381
sonar,QuantileTransformer-Normal_RF,0.795220588,0.108714796,0.80952381
sonar,QuantileTransformer-Uniform_RF,0.745955882,0.091106027,0.80952381
sonar,PowerTransformer-Yeo-Johnson_RF,0.776470588,0.074129901,0.80952381
,,,,
sonar,_RF-PCA,0.699264706,0.104321108,0.785714286
sonar,StandardScaler_RF-PCA,0.722426471,0.094553935,0.761904762
sonar,MinMaxScaler_RF-PCA,0.722426471,0.133007471,0.738095238
sonar,MaxAbsScaler_RF-PCA,0.758455882,0.072791332,0.80952381
sonar,RobustScaler_RF-PCA,0.710661765,0.117048685,0.785714286
sonar,QuantileTransformer-Normal_RF-PCA,0.772794118,0.119389668,0.833333333
sonar,QuantileTransformer-Uniform_RF-PCA,0.741176471,0.13665595,0.80952381
sonar,PowerTransformer-Yeo-Johnson_RF-PCA,0.772058824,0.11085641,0.761904762
,,,,
sonar,_MLP,0.734191176,0.134952514,0.833333333
sonar,StandardScaler_MLP,0.776838235,0.085117242,0.880952381
sonar,MinMaxScaler_MLP,0.745955882,0.07377624,0.80952381
sonar,MaxAbsScaler_MLP,0.727941176,0.103164149,0.80952381
sonar,RobustScaler_MLP,0.782720588,0.078222474,0.880952381
sonar,QuantileTransformer-Normal_MLP,0.69375,0.103413439,0.833333333
sonar,QuantileTransformer-Uniform_MLP,0.758455882,0.092264763,0.80952381
sonar,PowerTransformer-Yeo-Johnson_MLP,0.806985294,0.074719234,0.880952381
,,,,
sonar,_MLP-PCA,0.650735294,0.097907387,0.738095238
sonar,StandardScaler_MLP-PCA,0.741544118,0.09450818,0.761904762
sonar,MinMaxScaler_MLP-PCA,0.741911765,0.104334064,0.785714286
sonar,MaxAbsScaler_MLP-PCA,0.754411765,0.092305041,0.785714286
sonar,RobustScaler_MLP-PCA,0.709558824,0.084126131,0.80952381
sonar,QuantileTransformer-Normal_MLP-PCA,0.734558824,0.061536694,0.80952381
sonar,QuantileTransformer-Uniform_MLP-PCA,0.740808824,0.084258578,0.785714286
sonar,PowerTransformer-Yeo-Johnson_MLP-PCA,0.680514706,0.111409192,0.785714286
